date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:30:27	39918/39918	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:50%20GMT	https://www.codeigniter.com/user_guide/installation/upgrade_b11.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/upgrade_b11.html	(from https://www.codeigniter.com/user_guide/installation/upgrading.html)
03:30:28	25276/25276	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Jun%202018%2014:21:57%20GMT	https://www.codeigniter.com/user_guide/_images/appflowchart.gif	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_images/appflowchart.gif	(from https://www.codeigniter.com/user_guide/overview/appflow.html)
03:30:28	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bbf1511-4d7%22	https://www.codeigniter.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.codeigniter.com/user_guide/contributing/index.html)
03:30:29	3932/3932	---M--	200	added ('OK')	application/zip	date:Tue,%2012%20Jun%202018%2014:21:57%20GMT	https://www.codeigniter.com/user_guide/_downloads/ELDocs.tmbundle.zip	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_downloads/ELDocs.tmbundle.zip	(from https://www.codeigniter.com/user_guide/documentation/index.html)
03:30:35	1156/1156	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Jun%202018%2014:21:57%20GMT	https://www.codeigniter.com/user_guide/_images/smile.gif	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_images/smile.gif	(from https://www.codeigniter.com/user_guide/helpers/smiley_helper.html)
03:30:37	1195/1195	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Oct%202018%2007:30:43%20GMT	https://www.codeigniter.com/user_guide/minus.png	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/minus.png	(from https://www.codeigniter.com/user_guide/_static/doctools.js)
03:30:38	38205/38205	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:22:11%20GMT	https://www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont.eot?v=4.1.0	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont862f.html	(from https://www.codeigniter.com/user_guide/_static/css/theme.css)
03:30:39	38205/38205	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:22:11%20GMT	https://www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont.eot?	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfontd41d.html	(from https://www.codeigniter.com/user_guide/_static/css/theme.css)
03:30:39	44432/44432	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:22:11%20GMT	https://www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont.woff?v=4.1.0	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont862f-2.html	(from https://www.codeigniter.com/user_guide/_static/css/theme.css)
03:30:41	80652/80652	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:22:11%20GMT	https://www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont862f-3.html	(from https://www.codeigniter.com/user_guide/_static/css/theme.css)
03:30:42	1195/1195	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Oct%202018%2007:30:49%20GMT	https://www.codeigniter.com/user_guide/index/	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/index/index.html	(from https://www.codeigniter.com/user_guide/_static/searchtools.js)
03:30:43	202148/202148	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:22:11%20GMT	https://www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont.svg?v=4.1.0	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/fonts/fontawesome-webfont862f-4.html	(from https://www.codeigniter.com/user_guide/_static/css/theme.css)
